Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY66-21	ETOH // NADH // PROTON // ACETALD // NAD // WATER // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	MONOMERDQC-60856 // ZM00001D027995-MONOMER // MONOMERDQC-57830 // ZM00001D030347-MONOMER // ZM00001D049059-MONOMER // MONOMERDQC-53539 // MONOMERDQC-51978 // ZM00001D037562-MONOMER // MONOMERDQC-46169 // GLYMA.16G128140-MONOMER // GLYMA.04G240800-MONOMER // MONOMERN7V-53973 // MONOMERN7V-53376 // GLYMA.U036800-MONOMER // MONOMERN7V-52911 // GLYMA.02G274000-MONOMER // GLYMA.12G015300-MONOMER // GLYMA.12G015400-MONOMER // MONOMERN7V-52396 // MONOMERN7V-52369 // GLYMA.10G041000-MONOMER // GLYMA.01G116500-MONOMER // GLYMA.01G116700-MONOMER // GLYMA.01G116300-MONOMER // GLYMA.07G149400-MONOMER // MONOMERN7V-49796 // MONOMERN7V-49192 // GLYMA.14G042600-MONOMER // GLYMA.14G042800-MONOMER // GLYMA.14G156400-MONOMER // GLYMA.14G042000-MONOMER // GLYMA.14G042200-MONOMER // MONOMERN7V-48444 // MONOMERN7V-48356 // MONOMERN7V-47869 // MONOMERN7V-47810 // GLYMA.19G170100-MONOMER // GLYMA.18G200300-MONOMER // AT5G24760-MONOMER // AT5G42250-MONOMER // AT4G22110-MONOMER // AT1G64710-MONOMER // AT1G22430-MONOMER // AT1G32780-MONOMER // AT1G22440-MONOMER // AT2G29350-MONOMER // CPLX-5381 // AT1G77120-MONOMER // MONOMER-15098 // MONOMERDQC-61455 // MONOMERDQC-61335 // ZM00001D008814-MONOMER // MONOMERDQC-58467 // MONOMERDQC-54173 // MONOMERDQC-50120 // ZM00001D050495-MONOMER // ZM00001D017418-MONOMER // ZM00001D036933-MONOMER // MONOMERDQC-47402 // ZM00001D023580-MONOMER // ZM00001D025417-MONOMER // ZM00001D048738-MONOMER // MONOMERDQC-51246 // GLYMA.12G057400-MONOMER // GLYMA.08G039300-MONOMER // GLYMA.08G039200-MONOMER // MONOMERN7V-50719 // GLYMA.07G087400-MONOMER // GLYMA.11G133300-MONOMER // GLYMA.09G189300-MONOMER // GLYMA.09G189500-MONOMER // GLYMA.09G189200-MONOMER // MONOMERN7V-48907 // GLYMA.05G231900-MONOMER // GLYMA.19G010833-MONOMER // GLYMA.16G131700-MONOMER // GLYMA.04G181132-MONOMER // GLYMA.04G181066-MONOMER // MONOMERN7V-53826 // MONOMERN7V-53644 // GLYMA.17G033100-MONOMER // GLYMA.02G051500-MONOMER // MONOMERN7V-52796 // MONOMERN7V-51785 // GLYMA.08G002700-MONOMER // MONOMERN7V-51328 // GLYMA.15G034400-MONOMER // GLYMA.15G178400-MONOMER // GLYMA.15G140900-MONOMER // GLYMA.07G240300-MONOMER // GLYMA.07G087600-MONOMER // MONOMERN7V-49999 // MONOMERN7V-49846 // MONOMERN7V-49356 // GLYMA.13G340000-MONOMER // GLYMA.13G030400-MONOMER // MONOMERN7V-48572 // GLYMA.06G114300-MONOMER // GLYMA.06G183900-MONOMER // GLYMA.19G040250-MONOMER // GLYMA.19G010767-MONOMER // MONOMERN7V-46980 // AT1G23800-MONOMER // AT4G36250-MONOMER // AT3G66658-MONOMER // AT4G34240-MONOMER // AT1G54100-MONOMER // AT1G44170-MONOMER // AT3G48000-MONOMER // MONOMERDQC-46895 // ZM00001D047663-MONOMER // MONOMERDQC-47283 // MONOMERDQC-58288 // MONOMERDQC-60878 // MONOMERN7V-47398 // GLYMA.06G208401-MONOMER // MONOMERN7V-48658 // GLYMA.05G155800-MONOMER // GLYMA.09G029900-MONOMER // GLYMA.07G242100-MONOMER // MONOMERN7V-50836 // GLYMA.15G135700-MONOMER // GLYMA.08G113600-MONOMER // GLYMA.08G115401-MONOMER // GLYMA.17G031800-MONOMER // GLYMA.04G144600-MONOMER // MONOMERN7V-54228 // AT1G55320-MONOMER // AT5G23050-MONOMER // AT3G16910-MONOMER // AT5G36880-MONOMER	ZM00001D051227 // ZM00001D027995 // ZM00001D018468 // ZM00001D030347 // ZM00001D049059 // ZM00001D033931 // ZM00001D027996 // ZM00001D037562 // ZM00001D030348 // GLYMA.16G128140 // GLYMA.04G240800 // GLYMA.04G213900 // GLYMA.20G050300 // GLYMA.U036800 // GLYMA.02G274100 // GLYMA.02G274000 // GLYMA.12G015300 // GLYMA.12G015400 // GLYMA.12G015100 // GLYMA.12G015500 // GLYMA.10G041000 // GLYMA.01G116500 // GLYMA.01G116700 // GLYMA.01G116300 // GLYMA.07G149400 // GLYMA.09G161600 // GLYMA.13G035200 // GLYMA.14G042600 // GLYMA.14G042800 // GLYMA.14G156400 // GLYMA.14G042000 // GLYMA.14G042200 // GLYMA.14G121200 // GLYMA.06G122600 // GLYMA.03G059600 // GLYMA.03G168700 // GLYMA.19G170100 // GLYMA.18G200300 // AT5G24760 // AT5G42250 // AT4G22110 // AT1G64710 // AT1G22430 // AT1G32780 // AT1G22440 // AT2G29350 // AT1G77120 // G-11534 // ZM00001D000116 // ZM00001D004731 // ZM00001D008814 // ZM00001D025958 // ZM00001D003983 // ZM00001D044339 // ZM00001D050495 // ZM00001D017418 // ZM00001D036933 // ZM00001D005818 // ZM00001D023580 // ZM00001D025417 // ZM00001D048738 // ZM00001D022554 // GLYMA.12G057400 // GLYMA.08G039300 // GLYMA.08G039200 // GLYMA.07G087500 // GLYMA.07G087400 // GLYMA.11G133300 // GLYMA.09G189300 // GLYMA.09G189500 // GLYMA.09G189200 // GLYMA.05G231800 // GLYMA.05G231900 // GLYMA.19G010833 // GLYMA.16G131700 // GLYMA.04G181132 // GLYMA.04G181066 // GLYMA.04G248500 // GLYMA.17G091000 // GLYMA.17G033100 // GLYMA.02G051500 // GLYMA.02G034000 // GLYMA.08G288000 // GLYMA.08G002700 // GLYMA.01G031500 // GLYMA.15G034400 // GLYMA.15G178400 // GLYMA.15G140900 // GLYMA.07G240300 // GLYMA.07G087600 // GLYMA.09G036000 // GLYMA.09G070300 // GLYMA.13G170600 // GLYMA.13G340000 // GLYMA.13G030400 // GLYMA.14G152100 // GLYMA.06G114300 // GLYMA.06G183900 // GLYMA.19G040250 // GLYMA.19G010767 // GLYMA.18G137300 // AT1G23800 // AT4G36250 // AT3G66658 // AT4G34240 // AT1G54100 // AT1G44170 // AT3G48000 // ZM00001D000133 // ZM00001D047663 // ZM00001D016659 // ZM00001D028868 // ZM00001D034519 // GLYMA.19G107300 // GLYMA.06G208401 // GLYMA.05G157600 // GLYMA.05G155800 // GLYMA.09G029900 // GLYMA.07G242100 // GLYMA.15G207200 // GLYMA.15G135700 // GLYMA.08G113600 // GLYMA.08G115401 // GLYMA.17G031800 // GLYMA.04G144600 // GLYMA.16G044600 // AT1G55320 // AT5G23050 // AT3G16910 // AT5G36880	Ethanol-Degradation	ACETATE--COA-LIGASE-RXN // RXN66-3 // ALCOHOL-DEHYDROG-RXN	CO-A // ATP // NAD // WATER // ETOH	ACETYL-COA // PPI // AMP // PROTON // NADH
PWY66-162	NADH // PROTON // NAD // ACETALD // WATER // ETOH // HYDROGEN-PEROXIDE // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP			Ethanol-Degradation	ACETATE--COA-LIGASE-RXN // RXN66-1 // RXN66-3	CO-A // ATP // ETOH // HYDROGEN-PEROXIDE // NAD	ACETYL-COA // PPI // AMP // PROTON // NADH
PWY-5708	PROTON // ACET // ACETYLSERINE // CPD-10467 // HYDROGEN-PEROXIDE // CPD-9300 // OXYGEN-MOLECULE // CPD-9280 // AMMONIUM // PYRUVATE // 2-AMINOACRYLATE // WATER // CPD-17446 // CPD-9311	MONOMER-13502 // MONOMER-13839 // MONOMER-13501 // MONOMER-13505	G-10281 // G-10280 // G-10282	S-CONTAINING-SECONDARY-CMPD-SYN	RXN-16200 // RXN-8899 // RXN-8916 // RXN-8915 // RXN-8919	OXYGEN-MOLECULE // ACETYLSERINE // CPD-10467	CPD-17446 // PYRUVATE // AMMONIUM // HYDROGEN-PEROXIDE // ACET // PROTON
ETHYL-PWY	PPI // Pi // ATP // MET // 5-METHYLTHIOADENOSINE // S-ADENOSYLMETHIONINE // CARBON-DIOXIDE // HCN // L-DEHYDRO-ASCORBATE // ETHYLENE-CMPD // WATER // PROTON // ASCORBATE // CPD-68 // OXYGEN-MOLECULE	GLYMA.19G220200-MONOMER // GLYMA.19G184700-MONOMER // GLYMA.03G184000-MONOMER // GLYMA.03G223000-MONOMER // GLYMA.13G141600-MONOMER // MONOMERN7V-50401 // MONOMERN7V-50809 // MONOMERN7V-51962 // GLYMA.10G054500-MONOMER // GLYMA.17G039000-MONOMER // GLYMA.17G039100-MONOMER // CRE06.G250200-MONOMER // AT3G17390-MONOMER // AT4G01850-MONOMER // AT2G36880-MONOMER // CPLX-1362 // GLYMA.18G238100-MONOMER // GLYMA.06G049900-MONOMER // MONOMERN7V-48656 // GLYMA.05G108900-MONOMER // GLYMA.05G211700-MONOMER // GLYMA.09G255000-MONOMER // GLYMA.09G152700-MONOMER // GLYMA.11G021500-MONOMER // MONOMERN7V-50224 // GLYMA.11G028200-MONOMER // GLYMA.07G128000-MONOMER // GLYMA.07G065700-MONOMER // GLYMA.01G196100-MONOMER // GLYMA.01G003900-MONOMER // GLYMA.01G213700-MONOMER // GLYMA.08G018000-MONOMER // GLYMA.08G030100-MONOMER // GLYMA.17G158100-MONOMER // GLYMA.16G203600-MONOMER // GLYMA.16G032200-MONOMER // CRE06.G306400-MONOMER // AT3G61510-MONOMER // CPLX-1363 // CPLX-1364 // AT5G65800-MONOMER // AT4G37770-MONOMER // AT4G26200-MONOMER // AT4G11280-MONOMER // AT4G08040-MONOMER // AT3G49700-MONOMER // GLYMA.06G117200-MONOMER // GLYMA.14G048900-MONOMER // GLYMA.14G049500-MONOMER // GLYMA.14G049000-MONOMER // GLYMA.05G222400-MONOMER // GLYMA.05G062400-MONOMER // GLYMA.09G008400-MONOMER // GLYMA.11G035700-MONOMER // GLYMA.11G035300-MONOMER // GLYMA.07G264200-MONOMER // GLYMA.07G129000-MONOMER // GLYMA.15G112700-MONOMER // MONOMERN7V-51234 // GLYMA.08G050400-MONOMER // GLYMA.08G029200-MONOMER // MONOMERN7V-52537 // GLYMA.12G239400-MONOMER // GLYMA.02G268500-MONOMER // GLYMA.02G268000-MONOMER // GLYMA.02G268400-MONOMER // GLYMA.02G268200-MONOMER // GLYMA.17G169100-MONOMER // GLYMA.17G144301-MONOMER // GLYMA.17G009800-MONOMER // GLYMA.04G170500-MONOMER // GLYMA.04G245900-MONOMER // MONOMERN7V-54172 // CRE12.G520700-MONOMER // CRE10.G466700-MONOMER // AT1G05010-MONOMER // AT1G62380-MONOMER // AT2G19590-MONOMER // AT1G77330-MONOMER // AT4G16770-MONOMER // AT3G50210-MONOMER // AT3G49630-MONOMER // AT3G49620-MONOMER // MONOMERQT-8325 // MONOMERQT-8283 // MONOMER-15544 // AT1G12010-MONOMER	GLYMA.19G220200 // GLYMA.19G184700 // GLYMA.03G184000 // GLYMA.03G223000 // GLYMA.13G141600 // GLYMA.07G233800 // GLYMA.15G190500 // GLYMA.10G144300 // GLYMA.10G054500 // GLYMA.17G039000 // GLYMA.17G039100 // CRE06.G250200 // AT3G17390 // AT4G01850 // AT2G36880 // AT1G02500 // GLYMA.18G238100 // GLYMA.06G049900 // GLYMA.05G223000 // GLYMA.05G108900 // GLYMA.05G211700 // GLYMA.09G255000 // GLYMA.09G152700 // GLYMA.11G021500 // GLYMA.11G045600 // GLYMA.11G028200 // GLYMA.07G128000 // GLYMA.07G065700 // GLYMA.01G196100 // GLYMA.01G003900 // GLYMA.01G213700 // GLYMA.08G018000 // GLYMA.08G030100 // GLYMA.17G158100 // GLYMA.16G203600 // GLYMA.16G032200 // CRE06.G306400 // AT3G61510 // AT1G01480 // AT2G22810 // AT5G65800 // AT4G37770 // AT4G26200 // AT4G11280 // AT4G08040 // AT3G49700 // GLYMA.06G117200 // GLYMA.14G048900 // GLYMA.14G049500 // GLYMA.14G049000 // GLYMA.05G222400 // GLYMA.05G062400 // GLYMA.09G008400 // GLYMA.11G035700 // GLYMA.11G035300 // GLYMA.07G264200 // GLYMA.07G129000 // GLYMA.15G112700 // GLYMA.01G008400 // GLYMA.08G050400 // GLYMA.08G029200 // GLYMA.12G008700 // GLYMA.12G239400 // GLYMA.02G268500 // GLYMA.02G268000 // GLYMA.02G268400 // GLYMA.02G268200 // GLYMA.17G169100 // GLYMA.17G144301 // GLYMA.17G009800 // GLYMA.04G170500 // GLYMA.04G245900 // GLYMA.16G077900 // CRE12.G520700 // CRE10.G466700 // AT1G05010 // AT1G62380 // AT2G19590 // AT1G77330 // AT4G16770 // AT3G50210 // AT3G49630 // AT3G49620 // AT4G13400 // AT4G16765 // G-11917 // AT1G12010	Ethylene-Biosynthesis	ETHYL-RXN // 4.4.1.14-RXN // S-ADENMETSYN-RXN	ASCORBATE // OXYGEN-MOLECULE // ATP // MET	ETHYLENE-CMPD // L-DEHYDRO-ASCORBATE // HCN // CARBON-DIOXIDE // 5-METHYLTHIOADENOSINE // Pi // PPI
PWY-6271	CPD-11430 // CPD-11432 // CPD-11433 // PPI // FARNESYL-PP // WATER	MONOMER-14903	G-11360	SESQUITERPENOID-SYN	RXN-10637 // RXN-10636 // RXN-10635	FARNESYL-PP // WATER	PPI // CPD-11433 // CPD-11432 // CPD-11430
PWY-5859	CO-A // CONIFERYL-ALCOHOL // ACETYL-COA // CPD-6481 // NADPH // CPD-9875 // ISOEUGENOL // ACET // NADP	MONOMER-13831 // MONOMER-13833 // MONOMER-13834 // MONOMER-13842 // MONOMER-13843 // MONOMER-13832 // MONOMER-13837	G-10546 // G-10548 // G-10549 // G-10557 // G-10558 // G-10547 // G-10554	CINNAMATE-SYN	RXN-9246 // RXN-9245 // RXN-9244	NADPH // CONIFERYL-ALCOHOL // ACETYL-COA	ISOEUGENOL // ACET // NADP // CPD-6481 // CO-A
PWY-7157	WATER // Ox-NADPH-Hemoprotein-Reductases // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-14866 // CPD-14908 // CPD-14909 // CPD-14907 // CPD-14911 // CPD-14912 // CPD-14910 // UDP-L-RHAMNOSE // PROTON // UDP // CPD-8006 // CPD-12575 // CPD-13511 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-520	MONOMER-17809 // MONOMER-17810 // MONOMER-17811 // MONOMER-17813 // MONOMER-17815 // MONOMER-18652 // MONOMER-17814 // MONOMER-17812		FLAVONOL-SYN	RXN-13906 // RXN-8264 // RXN-13905 // RXN-13904 // RXN-13903 // RXN-13902 // RXN-13901 // RXN-13900 // RXN-13899 // RXN-13898	S-ADENOSYLMETHIONINE // CPD-520 // CPD-520 // CPD-12575 // UDP-L-RHAMNOSE // UDP-L-RHAMNOSE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	ADENOSYL-HOMO-CYS // CPD-13511 // CPD-13511 // ADENOSYL-HOMO-CYS // CPD-8006 // UDP // PROTON // CPD-14912 // CPD-14911 // CPD-14909 // Ox-NADPH-Hemoprotein-Reductases // WATER
PWY4FS-13	CPD-7078 // GDP-D-GLUCOSE // CPDQT-4 // GLC-1-P // GDP-L-GALACTOSE // GDP-MANNOSE	AT4G26850-MONOMER // CPLX-2043	AT4G26850 // AT5G28840	Sugars-And-Polysaccharides-Degradation	RXN-1882 // RXN4FS-13 // RXN4FS-14	GLC-1-P	CPDQT-4
PWY-5725	CPD-8764 // CPD-9338 // PPI // CPD-8239 // FARNESYL-PP	AT4G16730-MONOMER // MONOMER-13546 // MONOMER-13550 // AT4G16740-MONOMER // MONOMERQT-8242 // AT2G37140-MONOMER // MONOMERQT-9543 // AT1G33750-MONOMER // AT1G48800-MONOMER // AT1G48820-MONOMER // AT1G66020-MONOMER // AT3G14490-MONOMER // AT3G29110-MONOMER // AT3G29410-MONOMER // AT3G32030-MONOMER // AT4G15870-MONOMER // AT4G20210-MONOMER // MONOMER-13539 // MONOMER-13547 // MONOMER-13549 // AT5G44630-MONOMER	AT4G16730 // G-10317 // G-10321 // AT4G16740 // AT4G20230 // AT2G37140 // AT1G31950 // AT1G33750 // AT1G48800 // AT1G48820 // AT1G66020 // AT3G14490 // AT3G29110 // AT3G29410 // AT3G32030 // AT4G15870 // AT4G20210 // G-10310 // G-10318 // G-10320 // AT5G44630	SESQUITERPENOID-SYN	RXN-8422 // RXN-8931 // RXN-8574	FARNESYL-PP	CPD-8239 // PPI // CPD-9338 // CPD-8764
PWY-6577	HYDROGEN-PEROXIDE // CYS // CPD-12581 // OXYGEN-MOLECULE // WATER // CDP // FARNESYL-PP // CPD-12587 // CTP // 2-TRANS6-TRANS-FARNESAL // NADPH // PROTON // NADP // 2-TRANS6-TRANS-FARNESOL	AT2G22650-MONOMER // AT5G63910-MONOMER // MONOMER-15820 // AT5G58560-MONOMER // MONOMER-15821 // MONOMERQT-8825 // CPLX-8128	AT2G22650 // AT5G63910 // AT5G58560 // AT3G03350	All-Trans-Farnesyl-PP-Biosynthesis // Detoxification	FARNESOL-DEHYDROGENASE-RXN // RXN-11626 // RXN-11625 // RXN-11623	NADPH // CTP // CPD-12581 // OXYGEN-MOLECULE // WATER	NADP // FARNESYL-PP // CDP // CYS // HYDROGEN-PEROXIDE
PWY-2501	CPD66-39 // OXYGEN-MOLECULE // CARBON-DIOXIDE // 2R-Hydroxy-Fatty-Acids // 2R-HYDROPEROXY-FATTY-ACIDS // PROTON // NADH // Fatty-Acids // Fatty-Aldehydes // NAD // WATER	CPLX-4102 // AT1G73680-MONOMER // AT1G23800-MONOMER // AT4G36250-MONOMER // AT3G66658-MONOMER // AT4G34240-MONOMER // AT1G54100-MONOMER // CPLX-4101 // AT1G44170-MONOMER	AT3G01420 // AT1G73680 // AT1G23800 // AT4G36250 // AT3G66658 // AT4G34240 // AT1G54100 // AT1G44170	Fatty-Acid-Degradation	RXN-4142 // RXN-4141 // RXN-4122 // RXN-4121	NAD // CPD66-39 // OXYGEN-MOLECULE	Fatty-Acids // NADH // 2R-Hydroxy-Fatty-Acids // CARBON-DIOXIDE
PWY-5136	PPI // AMP // CPD66-39 // ATP // WATER // PROTON // NADH // NAD // L-3-HYDROXYACYL-COA // CO-A // 3-KETOACYL-COA // ACETYL-COA // HYDROGEN-PEROXIDE // TRANS-D2-ENOYL-COA // Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE	AT5G27600-MONOMER // AT3G05970-MONOMER // AT4G29010-MONOMER // AT3G15290-MONOMER // MONOMER-12060 // MONOMER-12059 // MONOMER-12058 // MONOMER-12057 // AT3G06860-MONOMER // AT5G48880-MONOMER // AT1G04710-MONOMER // AT2G33150-MONOMER // AT1G06310-MONOMER // AT3G06690-MONOMER // AT2G35690-MONOMER // CPLX-7064 // AT1G06290-MONOMER // CPLX-7063 // CPLX-7062	AT5G27600 // AT3G05970 // AT4G29010 // AT3G15290 // G-9338 // AT3G06860 // AT5G48880 // AT1G04710 // AT2G33150 // AT1G06310 // AT3G06690 // AT2G35690 // AT3G51840 // AT1G06290 // AT5G65110 // AT4G16760	Fatty-Acid-Degradation	RXN-11026 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN	OXYGEN-MOLECULE // CO-A // NAD // WATER // CPD66-39 // ATP	HYDROGEN-PEROXIDE // ACETYL-COA // NADH // PROTON // AMP // PPI
PWY-5137	TRANS-D2-ENOYL-COA // CIS-DELTA3-ENOYL-COA	AT1G65520-MONOMER // AT4G14430-MONOMER // AT4G14440-MONOMER // MONOMER-12058 // MONOMER-12059 // MONOMER-12060 // CPLX-7065	AT1G65520 // AT4G14430 // AT4G14440 // G-9338	Fatty-Acid-Degradation	ENOYL-COA-DELTA-ISOM-RXN	CIS-DELTA3-ENOYL-COA	TRANS-D2-ENOYL-COA
PWY-6837	HYDROGEN-PEROXIDE // cis-5-enoyl-CoA // OXYGEN-MOLECULE // trans-2-cis-5-dienoyl-CoA // trans-3-cis-5-dienoyl-CoA // NADP // TETRADEHYDROACYL-COA // NADPH // TRANS-D2-ENOYL-COA // Trans-3-enoyl-CoAs	CPLX-7064 // CPLX-7062 // CPLX-7063 // AT4G16760-MONOMER // AT5G65110-MONOMER // AT1G06290-MONOMER // AT3G51840-MONOMER // AT5G43280-MONOMER // AT4G14440-MONOMER // AT4G14430-MONOMER // AT1G65520-MONOMER	AT3G51840 // AT4G16760 // AT5G65110 // AT4G16760 // AT5G65110 // AT1G06290 // AT3G51840 // AT5G43280 // AT4G14440 // AT4G14430 // AT1G65520	Fatty-Acid-Degradation	RXN-7836 // RXN-12521 // RXN-12520 // RXN-12519 // RXN-12518	NADPH // cis-5-enoyl-CoA // OXYGEN-MOLECULE	TRANS-D2-ENOYL-COA // NADP // HYDROGEN-PEROXIDE
PWY-6799	CARBON-DIOXIDE // Acetoacetyl-ACPs // PROTON // PPI // AMP // MALONATE // ATP // CO-A // MALONYL-ACP // ACP // MALONYL-COA	AT2G04540-MONOMER // MONOMER-16560 // MONOMER-16562 // AT2G30200-MONOMER // MONOMER-16561	AT2G04540 // AT2G30200 // G-10466	Fatty-Acid-Biosyn-Initiation	MALONYL-COA-ACP-TRANSACYL-RXN // RXN-12360 // RXN-12359 // RXN-12361	MALONATE // ATP // PROTON	AMP // PPI // Acetoacetyl-ACPs // CARBON-DIOXIDE
PWY-4381	ACP // CARBON-DIOXIDE // CO-A // Acetoacetyl-ACPs // MALONYL-ACP // PROTON // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers	AT2G30200-MONOMER // MONOMER-10721 // MONOMER-16561 // AT1G62640-MONOMER	AT2G30200 // G-8321 // AT1G62640 // G-10466	Fatty-Acid-Biosyn-Initiation	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN	ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers // PROTON // ACP	biotin-L-lysine-in-BCCP-dimers // Acetoacetyl-ACPs // CO-A // CARBON-DIOXIDE
FASYN-ELONG-PWY	WATER // NADH // TRANS-D2-ENOYL-ACP // NAD // NADPH // OH-ACYL-ACP // NADP // CARBON-DIOXIDE // B-KETOACYL-ACP // ACP // Saturated-Fatty-Acyl-ACPs // MALONYL-ACP // PROTON	AT5G10160-MONOMER // AT2G22230-MONOMER // AT3G45770-MONOMER // AT2G05990-MONOMER // AT5G64250-MONOMER // AT1G62610-MONOMER // AT2G17845-MONOMER // AT1G10310-MONOMER // AT3G55290-MONOMER // AT3G46170-MONOMER // AT3G55310-MONOMER // MONOMERQT-9399 // CPLX-7646 // CPLX-7644	AT5G10160 // AT2G22230 // AT3G45770 // AT2G05990 // AT5G64250 // AT1G62610 // AT2G17845 // AT1G10310 // AT3G55290 // AT3G46170 // AT3G55310 // AT1G63380 // AT1G24360 // AT5G46290 // G-10466	Fatty-acid-biosynthesis	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	MALONYL-ACP // PROTON // NADPH // NADH	ACP // CARBON-DIOXIDE // NADP // NAD // WATER
PWY-5949	CPD-10157 // FE+2 // CPD-463	OS02G0649900-MONOMER // MONOMER-14021	OS02G0649900 // G-10709	Noncarbon-Nutrients // Transport-Pathways	RXN-9472 // RXN-9473	FE+2 // CPD-463	
PWY-5937	Fe3-siderophores	ZM00001D008355-MONOMER // ZM00001D017429-MONOMER // MONOMER-14005 // MONOMER-14020	ZM00001D008355 // ZM00001D017429 // G-10697 // G-10708	Transport-Pathways	TRANS-RXN-172		
PWY-8001	CPD-21114 // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // GLY // CPD-21113 // GLT // CPD-21345 // CPD-21344 // WATER			S-CONTAINING-SECONDARY-CMPD-SYN	RXN-19732 // RXN-19731 // RXN-15127 // RXN-15124 // RXN-19546	CPD-21344 // WATER	GLT // GLY // PYRUVATE // AMMONIUM // CPD-21114
PWY-6437	PPI // GERANYL-PP // CPD-685 // CPD-12224 // CPD-12222 // WATER // CARBON-DIOXIDE // CPD-12225 // CPD-12223 // OXYGEN-MOLECULE	MONOMER-15442 // MONOMER-15444 // MONOMER-15468		MONOTERPENOID-SYN	RXN-11276 // RXN-11275 // RXN-11274 // RXN-11273 // 4.2.3.10-RXN	OXYGEN-MOLECULE // GERANYL-PP	CPD-12225 // CARBON-DIOXIDE // CPD-12224 // PPI
PWY-6445	CPD-685 // WATER // CPD-4886 // PPI // CPD-4892 // GERANYL-PP	MONOMER-15443	G-11828	MONOTERPENOID-SYN	RXN-5106 // 4.2.3.16-RXN // 4.2.3.10-RXN	GERANYL-PP // WATER	CPD-4892 // PPI // CPD-4886 // CPD-685
PWY-6449	PPI // GERANYL-PP // WATER // CARBON-DIOXIDE // CPD-12224 // OXYGEN-MOLECULE // CPD-12222 // CPD-685	MONOMER-15442 // MONOMER-15444 // MONOMER-15468		MONOTERPENOID-SYN	RXN-11273 // RXN-11275 // 4.2.3.10-RXN	OXYGEN-MOLECULE // GERANYL-PP	CPD-12224 // CARBON-DIOXIDE // PPI
PWY-5168	NADH-P-OR-NOP // FERULIC-ACID // NAD-P-OR-NOP // Ox-NADPH-Hemoprotein-Reductases // CONIFERYL-ALDEHYDE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 5-HYDROXY-CONIFERALDEHYDE // NADPH // SINAPATE // PROTON // SINAPALDEHYDE // NADP // WATER	AT4G36220-MONOMER // AT5G54160-MONOMER // AT3G24503-MONOMER	AT4G36220 // AT5G54160 // AT3G24503	CINNAMATE-SYN	RXN-8014 // RXN-1143 // RXN-1142 // RXN-1241	NADP // S-ADENOSYLMETHIONINE // CONIFERYL-ALDEHYDE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // NAD-P-OR-NOP	PROTON // SINAPATE // NADPH // ADENOSYL-HOMO-CYS // Ox-NADPH-Hemoprotein-Reductases // FERULIC-ACID // NADH-P-OR-NOP
